Index,Delentropy
0,7.085702358
1,6.663946456
100,7.491748695
10006,6.596825534
10009,6.717337319
10010,6.601416917
10011,6.903852746
10012,7.221946063
101,7.21916371
1014,7.085621845
10185,6.988758366
10186,6.248627653
10187,6.486486962
10188,6.466197686
10189,6.568225618
10190,6.249391424
10191,6.60741748
10192,6.692983241
10193,6.710079597
10194,6.775164438
10195,6.998280479
10196,7.038542915
10197,6.561199598
10198,6.824730826
10199,6.35161519
102,7.734908114
10200,6.454480875
10201,6.567472228
10202,6.557185457
10203,6.602765692
10204,6.744697279
10205,6.931919445
10206,6.579473244
10207,6.110258472
10208,6.110258472
10209,6.579473244
10210,6.112259609
103,7.307550731
10338,6.055574642
10339,6.608960506
10340,6.278973999
10341,5.9231225
10345,7.53145102
10346,6.951321917
10347,7.301820852
10348,7.56933364
10349,6.794930795
10350,7.275334154
10351,7.570790377
10391,6.756586128
10392,6.768420638
10393,6.338800136
10394,6.599828243
10395,7.227043747
10396,7.527362076
10397,7.392462314
10398,7.274354787
10399,7.457149574
104,6.754525854
10400,7.241728367
10401,7.679651451
10402,7.339100698
10403,7.547539354
10404,7.534532868
10405,7.486313156
10406,7.602293082
10407,7.840464958
10408,7.689670441
10409,7.564160512
10410,7.718482619
10411,7.460199608
10413,7.626423615
10414,7.81636575
10442,6.095933214
10443,7.842742432
10444,7.455250467
10445,6.41816941
10446,5.846350653
10448,6.063175815
10449,6.216755484
10455,6.600128111
10456,6.609527335
10457,6.693856158
10458,6.581777767
10470,6.271007049
10471,6.557378053
10472,6.905783534
10473,6.96801142
10474,6.94061098
10475,7.848925953
10476,7.156957881
10477,7.111310028
10478,7.324358378
10491,6.581041562
10492,6.637019493
10493,6.482589482
10494,6.592166728
10495,6.971816826
105,6.750990959
10500,5.971750518
10501,6.322019001
10502,6.38555576
10503,6.394902865
10504,6.383207361
10505,6.421495707
10506,6.531668011
10507,7.460261459
10508,7.588211274
10509,7.966430361
10510,7.871074346
10511,7.774784628
10512,7.88855602
10513,7.60890919
10514,7.493602242
10515,7.794821529
10516,7.383175272
10517,7.465507891
10518,7.761962751
10519,7.265998625
10520,7.619566235
10521,7.759688715
10522,7.682153041
10523,7.376695057
10524,7.651359943
10525,7.120214797
10526,6.596778487
10527,7.191865934
10528,7.664743538
10544,7.499873139
10546,7.335429386
10547,7.132642142
10548,7.305117639
10564,6.510707806
10565,7.245503773
10566,7.08275824
10567,8.015617385
10572,6.337789305
10573,6.341125792
10574,6.395348602
10575,6.408543714
10576,6.382939533
10577,6.552152251
10578,6.554299565
10579,6.515714149
10580,6.515714149
10581,6.864645559
10582,6.306987844
10583,6.328975296
10584,6.330952509
10585,6.509164384
10588,6.695125596
106,7.009479145
10619,6.60050462
10638,6.877196143
10639,6.843843382
10640,6.522004425
10641,6.845704501
10642,6.177946151
10643,6.017172306
10644,6.404845989
10669,6.79895361
10670,6.915791637
10671,6.915791637
107,7.373534351
10731,5.94770894
10732,6.214296237
10733,6.134689998
10734,6.40835483
10735,6.272894855
10736,6.472526105
10773,6.626199438
10774,6.454345611
10775,6.500083463
10776,6.545555406
108,7.48700801
10813,6.638067253
10814,6.719924395
10815,6.256007229
10816,7.321782809
10817,7.210350929
10818,7.023239688
10819,7.083666709
10820,7.09986692
10821,7.200039398
10826,7.856784718
10827,8.022243754
10828,8.021886478
10829,8.173899082
10830,7.943654906
10831,7.271935733
10833,7.239424457
10834,6.997389194
10835,7.391668283
10836,6.939491121
10837,6.990439018
10839,7.389223656
10840,7.456609387
10844,6.735842554
10845,7.273680612
10846,6.86212547
10847,6.871475622
10848,7.026320716
10849,6.940481137
10850,7.335887625
10851,7.122772355
10852,7.266334804
10853,7.267609181
10855,7.273641173
10856,6.938937169
10857,6.431789419
10858,6.362652319
10859,6.226990002
10860,6.371562672
10861,6.362721875
10862,6.532658202
10863,6.620058568
10864,6.450159296
10865,6.004631231
10866,5.969458136
10867,6.315289553
10868,6.393805217
10869,6.725467862
10870,6.951797008
10871,7.284202186
10872,7.21197728
10873,7.620588573
10874,6.172088142
10875,6.978054985
10876,7.034461529
10877,7.359357647
10878,7.0380115
10879,6.985869598
109,6.905622163
10920,7.042235028
10921,6.661806925
10922,6.720127128
10923,6.703157649
10924,6.686154177
1093,6.497336646
10930,7.455330316
10931,6.614162206
10932,6.637216387
10937,7.410655946
10938,6.872229588
10939,7.168567651
1094,7.101970683
10940,6.60642792
10941,7.662399972
10942,7.10773585
10943,7.200066264
10944,6.864150102
10945,7.609183229
10946,7.14273633
1095,6.416106857
10987,5.230809886
10988,6.67870368
10989,5.262934924
110,7.727786369
11004,6.206196571
11005,6.852398789
11006,6.526042364
11007,6.987124155
11008,6.239454664
11009,6.54152716
11010,7.1171207
11011,6.428015469
11012,6.951304217
11013,6.95216272
11014,7.425824548
11021,5.792737607
11024,5.992694197
11025,6.733148521
11032,5.805634735
11072,7.455099845
11073,6.883033597
11074,7.058619805
11075,7.584571377
11076,7.101288566
11077,7.239320337
11089,5.918413798
111,7.335764729
11104,7.556670872
11105,7.483956953
11106,7.676174147
11107,7.13338101
11108,6.834573532
11109,7.136214383
11110,7.105892727
11111,7.196883307
11112,6.985483785
11120,6.254130246
11154,7.359301251
11191,6.779498928
11192,6.700553043
11193,6.90570862
11194,6.566188102
11195,6.586888441
112,6.881897988
11205,6.695637276
11211,6.304391796
11212,6.808599955
11213,6.610596708
11214,6.672722501
11267,8.107207595
11290,6.516959387
11291,7.604008866
11292,7.969176793
11293,7.570854071
11294,7.564537486
11295,7.65389205
113,7.073342219
11315,7.455299462
11316,7.402590369
11317,7.269871248
11318,7.137774682
11319,6.367872238
11320,6.622262224
11329,6.654018424
11330,6.615499893
11331,7.524986851
11332,6.520823484
11335,5.51138477
11350,7.9466577
11351,5.783004768
11352,5.813350293
11357,7.047947628
11358,6.762603021
11359,7.278946593
11360,7.704566795
11363,5.883930194
11365,6.188519842
11370,6.002830727
11376,5.913693004
11377,5.75361935
11378,6.19707991
11382,5.85810622
11392,6.286074378
11393,6.241721356
11394,6.101360316
11395,5.901149933
11397,5.926736291
11398,6.099031754
11399,6.473208959
114,7.201742727
11400,6.318409993
11401,7.183154375
11402,6.616610967
11403,7.507849505
11404,7.637617495
11423,5.664927067
11443,6.4850265
11444,6.49954111
11445,6.602901077
11446,6.558530127
11447,6.656658573
11448,6.828083513
11496,6.751299918
115,6.91393438
11534,7.302121379
11535,7.662348502
11536,7.70552231
11537,7.720001023
11538,7.957480644
11539,7.802457323
11540,7.340332515
11541,7.089176725
11542,7.188828577
11543,7.030242357
11544,6.929010621
116,7.001006177
1162,6.333537212
11621,6.678514344
11622,6.732133265
11623,7.179196698
11624,6.620928534
11634,7.267891747
11635,7.164916868
11636,7.220776816
11637,6.357028853
11638,6.435300583
11639,6.416084933
11643,5.618670424
11644,6.008040613
11645,6.197105022
11668,6.715922629
11671,6.500670885
11672,6.815745595
11673,6.691142641
11674,6.510721136
11687,7.021047545
11724,6.785197358
11725,6.776149439
11726,6.89763769
11727,6.778865731
1173,5.97927116
11746,6.617690107
11747,6.476290921
11748,6.5242135
11752,6.484026301
11753,6.111172177
11754,6.283271239
11755,6.317528064
11760,6.595798543
11761,6.653197861
11763,7.654607048
11771,6.530102307
11772,6.700081294
11773,6.948060049
11774,6.482825788
11775,6.332408572
11776,6.826824168
11777,6.498863048
11778,6.492089627
11779,7.650130469
11780,7.64945314
11781,6.740163041
11782,7.050690835
11783,7.006071563
11784,7.216785585
11785,7.675037433
11788,7.328981352
11789,7.164714547
11790,7.78623665
11791,7.803474561
11792,7.651954583
11793,7.810224125
11794,7.78623665
11795,7.80449421
11796,7.651954583
11798,7.171263721
11799,7.211027066
118,7.178033241
11800,7.19156262
11801,7.2935466
11802,7.15734702
11803,7.216395106
11804,7.709114859
11805,7.69650556
11806,8.206638383
11807,8.170899034
11808,7.679227242
1181,7.66368604
11815,7.379280475
11816,8.499398211
11817,8.96595762
11818,8.842070968
11819,7.649354752
1182,7.370706627
11820,7.705493161
11821,7.703770999
11822,7.912814335
11823,7.1165427
11824,8.059593113
11825,7.670058672
11826,7.682701851
11827,8.165276236
1183,7.898866523
11830,5.326116089
11831,5.968075398
1184,7.488511561
11843,5.586972859
1185,8.068165884
1186,7.132409547
1187,7.957711905
11873,7.719112687
11874,7.301077955
11875,7.496338935
11876,7.459663275
11877,7.296053368
11878,7.42369052
11879,7.257392742
1188,7.020608091
11880,7.247040456
11881,7.272269406
11882,6.744537206
11883,6.352195587
11884,6.47296257
11885,6.862469257
11887,6.80534857
11888,6.814699482
1189,8.111907807
119,7.217217197
1190,8.663230774
1191,8.591231801
1192,8.424589829
11953,8.472143078
11954,7.211493014
11995,6.76910368
11996,5.87298579
11998,6.461933038
11999,6.396863343
120,7.159168809
12021,5.447111702
12058,6.302513612
12059,6.009348938
12060,6.375448734
12061,5.637472985
12062,6.862212667
12063,5.742501343
12064,6.274107168
12065,6.47722133
12074,6.483585992
12093,6.412868261
12094,6.722207775
12095,6.694375057
12096,6.662924025
