index,delentropy
1012,5.633603233
1013,7.035798448
1014,6.428969988
1015,6.657023753
1016,6.936076195
1019,6.979338157
1020,7.585483934
1021,7.536318851
1022,6.971315918
1023,6.891606119
1024,7.070607864
1025,6.823974771
1035,6.152550784
1036,8.39374604
1037,7.968772368
1039,7.604432183
1048,6.961513856
1054,7.269280906
1055,8.084432043
1056,8.301217795
1057,8.270866067
1058,7.778519937
1059,8.608382326
1060,8.030560432
1061,8.362935852
1062,8.59929048
1063,7.7135174
1064,8.087361786
1065,7.181930303
1066,7.169778741
1067,6.646271
1068,6.81752764
1069,6.974203191
1070,6.94064951
1071,7.770108005
1072,7.667253405
1073,7.390895352
1074,6.246200753
1075,8.167305129
1076,7.877647344
1081,8.231812066
1082,7.479329309
1083,7.925944806
1084,6.41457653
1085,8.290218874
1089,6.183819612
1092,6.163252564
1093,7.915570084
1094,7.696305427
1095,7.632626586
1097,7.7431929
1098,7.246892706
1099,7.236836618
1100,7.262098283
1101,7.238796828
1102,7.088043357
1103,6.950774809
1104,7.06678157
1105,6.972415063
1126,7.891861784
1134,7.133638243
1135,7.105207618
115,6.663999221
1153,8.011574867
1154,7.96007947
1155,7.949137733
1156,9.008683467
1157,8.945550343
1158,8.103468149
1159,7.894386059
116,8.152092229
1160,7.161313633
1161,7.252182646
1162,7.136779272
1163,7.333104095
1164,7.320833098
1165,7.195707144
1166,7.268438507
1167,7.794791513
1168,7.677005399
1169,7.616209157
117,8.062677052
1170,7.647482588
1171,7.436943208
1172,7.59254549
1173,7.509122916
1174,7.59750523
1189,6.548173896
1190,6.470316464
1209,6.659283705
1210,5.927618631
1211,6.626801313
1272,7.71553753
1275,7.258110108
1313,6.515304333
1319,7.354415053
1320,8.134114644
1321,8.085016596
1324,6.370836641
1326,6.988817751
1329,6.270229442
1330,6.566797372
1331,6.2239415
1332,6.946640769
1333,6.157209585
1337,8.28135783
1338,8.249452832
1339,8.517051301
1340,8.421844642
1341,8.11595435
1342,7.989715438
1346,8.268934501
1347,8.402452447
1348,8.274730396
1349,7.940112054
1350,8.924639609
1351,8.235995592
1352,8.31557991
1353,7.694172459
1354,7.684725956
1355,8.237457889
1356,8.871086065
1357,8.353763523
1358,8.736941629
1365,8.207017066
1366,8.667163296
1367,8.28135783
1368,8.449943633
1369,8.218094346
1370,8.184055969
1371,8.137746149
1372,7.968927826
1373,8.420475094
1374,8.064795363
1375,8.113134718
1376,8.313606252
1377,8.148364638
1378,8.114087916
1379,7.977609456
1380,8.155480609
1381,7.801370663
1382,7.766963719
1383,8.358417505
1384,8.443713845
1385,8.507024657
1386,8.291266311
1387,7.120440127
1388,8.096511115
1389,8.449916198
1390,8.785616796
1391,8.377678647
1392,8.392985879
1393,8.292168496
1394,6.974296707
1395,7.922219142
1396,8.202991159
1397,8.362957383
1398,8.187223039
1399,8.107110978
1400,8.91100005
1401,8.320811338
1402,7.847664532
1403,8.096328683
1404,8.553711181
1405,8.263915202
1406,8.44497493
1407,8.481613504
1408,8.142898528
1409,8.153171533
1416,6.748550537
1417,6.482078593
1418,6.531215452
1419,7.000756713
1420,6.987737506
1421,7.328319055
1422,7.355013498
1423,6.948081891
1424,7.773779471
1429,7.777107814
1430,7.585585396
1431,7.534986599
1432,7.427838754
1433,7.069033466
1434,7.92028427
1435,7.740934766
1436,7.331330453
1437,7.197922604
1438,7.539677131
1439,7.845512495
1440,6.673052547
1441,7.602451297
1442,7.573330475
1443,7.460912541
1447,8.178400581
1449,7.218640516
1452,7.910547691
1453,7.665434789
1454,7.748568437
1455,6.947510494
1456,6.76180664
1457,7.153515342
1458,6.995215747
1470,6.126535997
1471,8.566443675
1472,8.408000933
1473,8.293317344
1474,8.119810005
1475,7.897003007
1476,7.846685328
1477,7.931092534
1478,7.248825573
1479,7.699254518
1480,7.490836042
1481,7.582431139
1482,8.300109652
1483,7.936929373
1489,7.90661962
1490,8.274033364
1491,8.220209834
1492,8.470872936
1493,7.837096064
1494,8.118874036
1495,8.016108716
1496,8.294065451
1497,8.231555675
1498,7.46504476
1499,7.953357644
1500,7.987305768
1501,8.042556823
