index,delentropy
100,7.284068137
1005,6.634689046
1007,8.117921767
1008,8.016810594
1009,7.875686469
101,7.158909688
1010,7.699994842
1011,7.618938889
1012,7.646867979
1019,7.697125097
102,6.025454545
1026,7.344573638
104,7.112068301
1048,7.026630542
1049,7.415712537
105,7.827341143
1050,7.035132222
1051,6.764416938
1052,7.069266225
1053,6.831236449
1054,7.316770711
1055,6.908315413
1056,7.164164818
1057,6.858907119
1058,7.143040486
1059,7.406548571
106,7.928234412
1061,7.125588449
1062,7.290747519
1063,7.307919391
1064,7.341169772
1065,7.264491762
107,7.784589371
1071,7.042057836
1072,7.062969713
1073,7.250795398
1074,7.212894318
1075,7.045411769
1076,7.391443102
1077,7.104038502
1078,7.065567991
1079,7.212894318
108,6.470723526
1080,7.250795398
1081,7.041420912
1082,7.398901335
1083,6.241978995
1084,6.769477052
1085,6.233356511
1086,6.608926194
1088,6.161681316
109,7.800104308
1092,6.960898474
1094,6.17497586
1095,7.263511158
1097,6.820474508
110,7.446970679
111,6.928885329
112,7.861536347
113,6.463089709
1130,7.676027398
1131,6.866038531
1132,7.025749407
1133,7.541430813
1134,7.399869813
1135,7.146022021
1136,7.838598063
1137,7.025749407
1138,7.541430813
1139,6.866038531
114,7.67377558
1140,7.373764232
115,6.028962264
1155,6.597141954
1156,6.567899552
1157,6.604768017
1158,6.640344877
1159,6.636574925
116,6.216035306
1160,6.63708358
1161,6.85194417
1162,5.572656755
1166,8.395062629
1167,8.749762699
1168,7.414697311
1169,7.284234567
117,6.232375917
1171,7.475901437
1172,7.620114013
1173,7.661966272
1174,7.860400013
1176,7.218120898
1177,7.473453871
1179,7.355785511
1180,5.834127697
1181,6.615723095
1183,6.847681357
1186,7.306695459
119,6.980995996
1190,6.034643624
1191,6.034308569
1198,7.613492448
1199,7.518380168
120,7.345497118
1200,7.447135342
1201,6.720092808
1202,7.675383234
1203,7.55581232
1204,7.308214424
1208,5.415032264
121,6.706897447
1210,7.593948538
1211,7.270883941
1212,7.284581306
1224,6.672666647
1225,6.75112434
123,7.374856467
1235,6.87131697
1236,7.132243018
1237,7.965483999
1238,7.910156711
124,7.366348941
125,7.368849923
1250,7.359706277
1251,7.147181414
1252,7.362142264
1253,7.167903224
1254,7.379332371
1258,6.667835994
1259,6.319529771
126,7.477785432
1260,6.340034561
1261,6.046906494
1262,6.039537443
1268,6.79380417
1269,6.683474823
127,7.665308917
1271,5.371223454
129,7.308903008
1291,6.867137618
1292,6.995911634
1293,6.56672857
1295,6.654427152
1296,6.369641436
1298,6.466750769
130,7.145899061
1300,6.426164034
1301,6.259178037
1302,6.716419439
1303,6.105842514
1306,6.3142511
1308,6.327691947
131,7.351792104
1314,7.233896405
1316,6.92075802
1317,7.081745961
1318,7.152832795
132,7.540998879
133,6.646899752
134,7.622233669
1343,6.955183678
1344,6.679674924
1348,6.885720003
1349,6.563259072
135,7.580864005
136,6.183078325
1366,6.685678711
1367,6.678817804
137,6.283308321
1378,5.808628633
1382,6.835098682
1383,7.117085222
1384,6.915757239
1385,6.84861947
1386,6.874778018
1387,7.016361401
1388,6.991970671
1389,7.005214082
1390,7.136667908
1391,6.872474124
1392,7.167669
1393,6.963313363
1394,6.894005176
1395,7.31432119
1396,7.04985216
1397,7.101784905
1398,7.117034545
1399,7.658651946
1400,7.415229684
1401,7.705530545
1402,7.47197107
1403,6.914892304
1404,6.802489201
1405,7.409188681
1406,7.158318301
1407,7.049896216
1408,6.311426895
1409,6.671374167
1410,6.720022115
1411,6.886036028
1412,7.111620515
1413,6.368530822
1414,6.192476295
1415,6.905502976
1416,6.936981985
1417,6.587766105
1418,6.648729901
1419,7.171292709
1420,6.691380863
1421,7.166754807
1422,7.069740441
1423,8.697114498
1424,8.571554681
1425,8.662173821
1426,8.671649334
1427,8.577125424
1428,9.05567764
1429,9.136197882
1430,9.257299268
1431,7.459232497
1432,7.188498628
1433,7.560360742
1434,7.165318294
1435,7.337532889
1436,7.490368508
1437,6.619309981
1438,6.520047976
1439,7.460222752
1440,7.351729839
1441,7.463665748
1442,7.355831038
1443,7.151275224
1444,7.142142838
1445,7.232098016
1446,7.325237613
1447,7.181791109
1448,7.185630021
1449,7.295583137
1450,7.605129796
1451,7.18192821
1452,7.394999096
1453,7.29188717
1454,7.50175705
1455,7.073234989
1456,7.286116502
1457,7.207033778
1458,6.827256463
1459,6.458418859
1460,6.598515614
1461,6.834691892
1462,6.273539779
1463,6.475304804
1464,6.559483373
1465,6.737627635
1466,6.791532649
1468,6.497623857
1469,6.572397078
1472,6.26048203
1474,6.054978445
1476,7.44845788
1477,7.052958242
1478,7.105434197
1479,6.727929341
148,8.184078254
1483,5.124713107
1487,5.403255676
1488,5.435907818
149,7.970868267
15,6.883702309
150,7.92341138
1507,6.304863103
1508,5.753451409
1509,5.715303874
1510,6.016586754
1519,7.154665103
1522,7.990011668
1523,8.139029783
1524,8.07582474
1525,7.87672338
1526,7.879137378
1527,7.997427935
1528,6.810661905
1529,7.160727217
1530,7.387422833
1531,7.428203222
1532,7.399102153
1533,7.405826566
1534,5.597084843
1535,6.314883456
1536,6.581864478
1537,7.055001361
1538,6.797264154
1539,5.810522506
1540,5.745721464
1552,6.818236613
1553,6.85329718
1554,6.747025227
1578,5.817966905
1579,6.246822629
1597,6.216668649
1598,6.21391567
1599,6.252477447
1600,6.112598453
1601,6.360349981
1602,6.29870773
1603,6.579589758
1604,6.339786702
1605,6.360883065
1675,8.11400414
1676,8.038482925
1677,8.597641598
1678,8.067417249
1680,6.679805241
1684,7.208632268
169,6.473222879
1690,7.437263528
1693,7.055156407
1694,7.44567414
1695,7.08931518
1696,7.622241745
1697,7.218361175
1698,7.492605037
1699,7.341243806
170,6.607553268
1700,7.062884508
1701,7.4674238
1702,7.394609654
1703,7.329683625
1704,7.280457085
1705,7.63790099
1706,7.581636526
1707,7.627629415
1708,7.059034558
1709,6.906315735
171,7.10119882
1710,6.683171464
1711,6.576912197
1712,6.679699517
1713,6.691886985
1714,7.052263167
1715,8.426489218
1716,6.930207334
1717,6.994132075
1718,6.836333108
1719,7.246112151
172,6.950743671
1720,6.884356204
1721,7.743727928
1722,6.888060469
1723,6.845099688
1724,6.851981862
1725,6.893076873
1726,7.057813407
1727,7.134685537
1728,7.038313414
1729,7.275861404
173,7.192587453
1730,6.861778359
1731,6.832373323
1732,6.903777112
1733,6.923030476
1734,6.973714585
1735,6.824013496
1736,6.826690075
1737,7.068282113
1738,7.08839893
1739,7.83228095
174,6.92705568
1740,7.492425059
1741,7.916805954
1742,7.770309171
1746,5.875219572
1747,6.042105072
1748,6.993943989
1749,6.800350055
1750,7.54403259
1751,7.043523269
1752,7.027329601
1753,7.142012337
1754,9.337827916
1755,7.034291619
1756,8.864803909
1757,6.932192547
1758,6.786524539
1759,8.484993199
1760,7.208197195
1761,7.40537914
1788,7.857018825
1789,7.738979757
1790,7.288883548
1791,7.943030793
1792,7.7829613
1793,8.143849431
1794,7.180318914
1795,7.760711253
1796,7.906242749
1797,8.027156667
1798,8.121495264
1800,7.979871148
1801,8.028215395
1802,8.144013098
1803,7.829052408
1804,7.514348725
1805,7.334121231
1806,6.430268336
1807,6.711446723
181,6.113795391
1815,6.628473955
1816,6.780269639
1817,6.794398788
1818,6.84732159
1819,6.831029271
182,6.067141905
1820,5.977431665
1821,5.982429424
1822,6.793940499
1823,6.953809014
1824,6.913331608
1825,6.763179638
1826,6.905310228
1827,6.963627475
1829,5.946231925
183,6.067141905
1837,6.446685111
1838,6.380266473
1839,6.465729376
184,6.253486156
1840,6.488839726
1841,5.662070335
1845,5.977001405
1847,6.663844257
1848,6.149664545
1849,6.772616446
185,6.075386929
1850,6.786877538
1854,6.925851151
1856,6.045027102
1857,6.129134542
1858,6.259758602
186,6.701270788
1866,6.758735074
1867,5.718039286
1869,6.079173409
187,6.396246642
