index,delentropy
100,6.47898415
1000,6.57113431
1001,7.022988363
1002,6.859521475
1003,6.599764707
1004,7.000787295
1005,7.01487467
1006,7.104402739
101,6.906689266
1015,7.16767116
1016,7.490037382
1017,7.265031926
1018,9.070397854
1019,7.635499572
102,7.191046182
1020,7.936765297
1021,8.000663296
1022,7.64559049
1023,7.593812368
1024,7.95011028
1025,7.761963491
1026,6.586239207
1027,6.80695943
1028,6.787613946
1029,7.082531288
103,7.145478375
1030,6.347358359
1031,7.01580037
1032,6.16754348
1033,6.208918424
1034,6.11585354
1035,8.214798105
1036,6.287775801
1037,6.957009638
1038,6.921961817
1039,7.302880507
1042,6.855702714
1043,7.076454395
1044,7.314252462
1045,7.132218105
1046,7.961959086
1047,7.371722404
1048,7.040777616
1049,7.103777795
1050,6.974169177
1051,6.934443828
1052,7.02982629
1053,7.759290099
1054,7.612738441
1055,7.643256542
1056,8.065010968
1061,7.12753996
1062,7.310083947
1063,6.788234887
1064,7.635450531
1065,7.137087174
1066,7.050462237
1067,7.968987664
1068,7.758748086
1069,8.432704684
1075,7.381185718
1076,7.198751953
1077,7.657200355
1078,7.554705735
1079,8.901441841
108,6.869193285
1080,8.718546295
1081,8.633181319
1082,8.638225916
1083,8.402715017
1084,7.425714964
1085,7.776067172
1086,7.664751795
1087,7.711707946
1088,7.857892223
109,7.061185963
1093,7.070402688
1094,7.338226605
1097,5.726763325
110,7.085580086
1102,8.044670311
1103,8.006639898
1104,7.94943878
1108,5.575903602
1109,7.251035261
111,6.783886488
1110,6.539864668
1111,6.72365303
1112,7.12462084
1113,6.699707463
1114,6.681207596
1115,5.799668547
1116,7.11391951
1117,5.991729118
112,7.235198405
1122,7.902856272
1123,8.40829433
1124,8.569211995
1125,9.262626063
1126,8.252970206
1127,8.405346075
113,7.394846074
1143,5.732423349
1145,5.744391982
115,5.623756891
1150,6.639650901
1151,6.839835148
1152,6.944716052
1153,6.702773816
1154,6.49010974
1173,7.416019164
1174,7.445659279
1175,7.443374152
1176,7.367381318
1177,6.450041719
1178,6.701376689
1179,7.299288729
118,5.827327087
1180,7.97177812
1181,7.207818437
1182,7.590488311
1183,7.406339034
1184,7.793689895
1185,6.870604033
119,5.79552238
1192,7.061692082
1193,7.280787804
1194,7.039009076
1195,7.19900011
1196,6.549570712
1197,6.427345536
1198,6.629178273
1199,6.459707252
1200,6.64563588
1201,7.00678753
1202,7.367337119
1203,7.281039299
1204,7.27821928
1215,6.639089953
1216,7.145431235
1217,6.754655681
123,7.189325798
124,7.057204539
1243,6.721095834
1244,6.707273425
1245,6.172954966
1246,6.968780355
1247,6.49019779
1248,6.695376608
1249,6.814361345
125,7.395470517
1250,6.508642953
126,7.229264485
1263,5.328390124
1265,6.773306742
1266,5.75265749
1267,6.746600731
1268,6.66165209
1269,6.693552549
1270,7.070397235
1273,5.475870722
1274,7.115095236
1275,7.094108319
1276,7.001288991
1291,7.342910739
1293,7.316166944
1296,6.442230653
1298,6.855702714
1299,7.012511236
1300,6.968859695
1309,6.141221838
1314,7.781043257
1315,7.679338418
1316,7.738650454
1322,5.748535718
1329,7.252875691
1330,7.230324414
1331,6.46767629
1332,6.486316964
1333,6.414065578
1334,6.503361132
1335,7.586379864
1336,7.003923634
1337,7.326849687
1338,6.514122068
1348,7.981449561
1349,7.528921591
1358,7.239914406
1359,7.026507147
137,5.826604998
1373,5.91611845
1375,7.096468521
1389,7.058207524
1390,8.138562028
1391,7.568399289
1392,6.795872966
1393,7.599960441
1394,5.619193325
14,5.774406227
1413,6.820106611
142,6.872536008
1424,5.52010936
1427,6.49908954
143,6.654802273
1433,7.480178016
1434,7.631247705
1435,7.172323686
1436,7.336378427
1437,7.670985573
1455,7.218348356
1457,7.093947727
1459,7.650515201
146,5.764190441
1460,7.577557306
1461,7.492888548
1463,6.839952232
1464,8.377347321
1465,7.431787287
1466,7.373011883
1467,7.171127929
1468,7.010729248
1469,6.681207054
1470,6.998672765
1471,7.239064841
1472,7.078673514
1473,6.936090979
1474,6.725331454
1475,6.927228225
1476,6.540662128
1477,6.57634731
1478,7.412691042
1479,7.055619541
1480,7.222403386
1481,7.296313504
1482,7.799767454
1483,7.877083641
1484,7.930919436
1485,7.607199352
1487,7.788815132
1488,7.607276589
1489,7.809362869
149,5.842387249
1490,6.517273017
1491,6.758981174
1492,7.166653464
1493,6.818066814
1494,7.174009455
1495,5.783396271
1496,5.777984293
1497,5.777984293
1498,5.895647582
1499,5.89623465
15,5.845150372
150,7.386475874
1500,7.337375857
1501,7.155593257
1502,6.07973354
1506,7.116381907
1507,6.78118174
1508,6.830709868
1509,7.173398906
1510,5.313156642
1511,5.789025439
1512,5.78059921
1513,5.645493751
1514,5.77151812
1515,5.829787798
1516,6.963317554
1517,6.863257855
1518,6.982998361
1519,6.938262541
152,7.586465543
1520,7.115237475
1521,7.306522778
1522,6.865986449
1523,7.166315853
1524,7.204000968
1525,6.969988777
1526,7.103939047
1527,8.147982057
1528,7.984646671
1529,8.051677924
153,7.120433588
1530,8.033234282
1538,7.115316158
1539,7.219352546
154,7.350209769
1540,7.181541215
1541,7.098968136
1542,7.078938021
1544,7.05010972
1545,6.75232655
1546,6.886649662
1547,6.691700697
1548,6.957126598
156,5.65073143
1562,6.22696055
1563,6.544295097
1564,6.571749631
1565,7.059242259
1566,6.481232562
1567,6.402172121
1568,6.345216815
1569,5.564251275
157,5.343440432
1570,6.081547412
1571,5.570102128
1572,5.849828037
1585,6.430179494
1596,7.165347814
1597,6.554446319
1598,6.760975526
16,6.702846177
160,5.842713986
1601,6.84767725
1602,6.845270519
1603,6.967372097
1604,6.462106506
