Index,Property Prices,Longitude,Latitude,Size,Floor,Highest floor,Units,Parking,Heating,Year,Delentropy,Delentropy_d,Dist. Green,Dist. Water,Dist. Subway,Bus Stop,Dist. CBD,Top Univ.,High School,Sex Ratio,Population,Pop. Density,Higher Degree,Young Population,Median Age,Old Population,Spring,Fall,Winter
3525,10.90961899,126.879933,35.139797,185.78,9,24,377,2.15,0,2006,7.452453397,,5.242883568,7.462078428,7.464292788,10,3493.985976,38,30,96.92002882,10933,14774.32432,30.54873055,10.65581268,42.5,16.18037135,0,0,1
3525,10.97507117,126.879933,35.139797,185.78,10,24,377,2.15,0,2006,7.452453397,,5.242883568,7.462078428,7.464292788,10,3493.985976,38,30,96.92002882,10933,14774.32432,30.54873055,10.65581268,42.5,16.18037135,0,0,1
3525,10.8704714,126.879933,35.139797,185.78,3,24,377,2.15,0,2006,7.452453397,,5.242883568,7.462078428,7.464292788,10,3493.985976,38,30,96.92002882,10933,14774.32432,30.54873055,10.65581268,42.5,16.18037135,1,0,0
3525,11.12726298,126.879933,35.139797,185.78,4,24,377,2.15,0,2006,7.452453397,,5.242883568,7.462078428,7.464292788,10,3493.985976,38,30,96.92002882,10933,14774.32432,30.54873055,10.65581268,42.5,16.18037135,0,0,0
3523,10.75363848,126.879933,35.139797,124.38,21,24,377,2.15,0,2006,7.274528834,,5.242883568,7.462078428,7.464292788,10,3493.985976,38,30,100.6857566,21656,26735.80247,18.91952102,17.08995198,42.3,10.88381973,0,0,1
3523,10.71441777,126.879933,35.139797,124.38,8,24,377,2.15,0,2006,7.274528834,,5.242883568,7.462078428,7.464292788,10,3493.985976,38,30,96.92002882,10933,14774.32432,30.54873055,10.65581268,42.5,16.18037135,1,0,0
3523,10.6666271,126.879933,35.139797,124.38,1,24,377,2.15,0,2006,7.274528834,,5.242883568,7.462078428,7.464292788,10,3493.985976,38,30,96.92002882,10933,14774.32432,30.54873055,10.65581268,42.5,16.18037135,1,0,0
3524,10.86856845,126.879933,35.139797,147.64,11,24,377,2.15,0,2006,7.517932687,,5.242883568,7.462078428,7.464292788,10,3493.985976,38,30,100.6857566,21656,26735.80247,18.91952102,17.08995198,42.3,10.88381973,0,0,1
3524,10.86379517,126.879933,35.139797,147.64,20,24,377,2.15,0,2006,7.517932687,,5.242883568,7.462078428,7.464292788,10,3493.985976,38,30,96.92002882,10933,14774.32432,30.54873055,10.65581268,42.5,16.18037135,1,0,0
3524,10.88743693,126.879933,35.139797,147.64,6,24,377,2.15,0,2006,7.517932687,,5.242883568,7.462078428,7.464292788,10,3493.985976,38,30,96.92002882,10933,14774.32432,30.54873055,10.65581268,42.5,16.18037135,1,0,0
3524,10.91508846,126.879933,35.139797,147.64,11,24,377,2.15,0,2006,7.517932687,,5.242883568,7.462078428,7.464292788,10,3493.985976,38,30,96.92002882,10933,14774.32432,30.54873055,10.65581268,42.5,16.18037135,1,0,0
3524,10.95080655,126.879933,35.139797,147.64,3,24,377,2.15,0,2006,7.517932687,,5.242883568,7.462078428,7.464292788,10,3493.985976,38,30,96.92002882,10933,14774.32432,30.54873055,10.65581268,42.5,16.18037135,0,0,0
3524,11.14908203,126.879933,35.139797,147.64,20,24,377,2.15,0,2006,7.517932687,,5.242883568,7.462078428,7.464292788,10,3493.985976,38,30,96.92002882,10933,14774.32432,30.54873055,10.65581268,42.5,16.18037135,0,1,0
611,9.305650552,126.786686,35.15214,59.88,3,13,175,0.8,0,1997,6.608973384,4.61694676,5.119646507,6.266313128,7.657128718,5,6529.093678,3,4,104.1837421,33382,1869.092945,25.4460994,18.74662992,35.1,8.711281529,1,0,0
611,9.239899174,126.786686,35.15214,59.88,4,13,175,0.8,0,1997,6.608973384,4.61694676,5.119646507,6.266313128,7.657128718,5,6529.093678,3,4,104.1837421,33382,1869.092945,25.4460994,18.74662992,35.1,8.711281529,0,0,0
611,9.220290703,126.786686,35.15214,59.88,4,13,175,0.8,0,1997,6.608973384,4.61694676,5.119646507,6.266313128,7.657128718,5,6529.093678,3,4,104.1837421,33382,1869.092945,25.4460994,18.74662992,35.1,8.711281529,0,0,0
611,9.259130536,126.786686,35.15214,59.88,13,13,175,0.8,0,1997,6.608973384,4.61694676,5.119646507,6.266313128,7.657128718,5,6529.093678,3,4,104.1837421,33382,1869.092945,25.4460994,18.74662992,35.1,8.711281529,0,1,0
611,9.259130536,126.786686,35.15214,59.88,11,13,175,0.8,0,1997,6.608973384,4.61694676,5.119646507,6.266313128,7.657128718,5,6529.093678,3,4,104.1837421,33382,1869.092945,25.4460994,18.74662992,35.1,8.711281529,0,1,0
611,9.239899174,126.786686,35.15214,59.88,9,13,175,0.8,0,1997,6.608973384,4.61694676,5.119646507,6.266313128,7.657128718,5,6529.093678,3,4,104.1837421,33382,1869.092945,25.4460994,18.74662992,35.1,8.711281529,0,1,0
611,9.210340372,126.786686,35.15214,59.88,11,13,175,0.8,0,1997,6.608973384,4.61694676,5.119646507,6.266313128,7.657128718,5,6529.093678,3,4,104.1837421,33382,1869.092945,25.4460994,18.74662992,35.1,8.711281529,0,1,0
611,9.179881164,126.786686,35.15214,59.88,3,13,175,0.8,0,1997,6.608973384,4.61694676,5.119646507,6.266313128,7.657128718,5,6529.093678,3,4,104.1837421,33382,1869.092945,25.4460994,18.74662992,35.1,8.711281529,0,0,1
3090,8.9226583,126.874699,35.157326,55.29,5,5,80,0.7,0,1982,7.024793336,2.335544747,6.165856918,7.011830428,6.674360524,11,2337.21306,40,24,93.00242131,15942,13285,37.45119911,10.02383641,38.9,15.41839167,0,0,1
3090,8.895629627,126.874699,35.157326,55.29,3,5,80,0.7,0,1982,7.024793336,2.335544747,6.165856918,7.011830428,6.674360524,11,2337.21306,40,24,93.00242131,15942,13285,37.45119911,10.02383641,38.9,15.41839167,1,0,0
3090,9.047821442,126.874699,35.157326,55.29,2,5,80,0.7,0,1982,7.024793336,2.335544747,6.165856918,7.011830428,6.674360524,11,2337.21306,40,24,93.00242131,15942,13285,37.45119911,10.02383641,38.9,15.41839167,1,0,0
3090,9.005773206,126.874699,35.157326,55.29,3,5,80,0.7,0,1982,7.024793336,2.335544747,6.165856918,7.011830428,6.674360524,11,2337.21306,40,24,93.00242131,15942,13285,37.45119911,10.02383641,38.9,15.41839167,0,0,0
3372,11.00209984,126.83923,35.145462,175.31,11,15,364,2.76,0,2010,6.464709637,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,0,0,1
3372,10.96474405,126.83923,35.145462,175.31,6,15,364,2.76,0,2010,6.464709637,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,0,0,1
3372,10.98529272,126.83923,35.145462,175.31,5,15,364,2.76,0,2010,6.464709637,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,0,0,1
3372,11.00209984,126.83923,35.145462,175.31,6,15,364,2.76,0,2010,6.464709637,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,1,0,0
3372,10.95080655,126.83923,35.145462,175.31,9,15,364,2.76,0,2010,6.464709637,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,1,0,0
3372,10.81977828,126.83923,35.145462,175.31,2,15,364,2.76,0,2010,6.464709637,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,1,0,0
3372,10.97164063,126.83923,35.145462,175.31,5,15,364,2.76,0,2010,6.464709637,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,0,0,0
3372,10.95080655,126.83923,35.145462,175.31,3,15,364,2.76,0,2010,6.464709637,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,0,0,0
3372,11.10495723,126.83923,35.145462,175.31,3,15,364,2.76,0,2010,6.464709637,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,0,0,0
3372,10.98529272,126.83923,35.145462,175.31,6,15,364,2.76,0,2010,6.464709637,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,0,0,0
3375,11.15625052,126.83923,35.145462,185.99,12,15,364,2.76,0,2010,6.60407233,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,0,0,1
3369,10.98189713,126.83923,35.145462,173.05,5,15,364,2.76,0,2010,7.742722309,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,0,0,1
3369,10.96301245,126.83923,35.145462,173.05,2,15,364,2.76,0,2010,7.742722309,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,0,0,1
3363,10.59162219,126.83923,35.145462,152.65,5,15,364,2.76,0,2010,6.36872706,,5.270265602,5.789797399,6.076602204,4,1908.768614,21,12,93.72986369,31268,9832.704403,40.11311885,12.92055776,37.6,9.802353844,0,0,1
